Title,Schema and Value Categories
Identifier,5c36a810-4033-437d-af01-3ade820323bc
Modified,2018-11-20T22:04:58

Section,Schema,Description,Ordered
Column.Value,10,10.0,
Column.Value,11,11.0,
Column.Value,12,12.0,
Column.Value,13,13.0,
Column.Value,14,14.0,
Column.Value,15,15.0,
Column.Value,16,16.0,
Column.Value,17,17.0,
Column.Value,18,18.0,
Column.Value,19,19.0,
Column.Value,20,20.0,
Column.Value,21,21.0,
Column.Value,22,22.0,
Column.Value,23,24.0,
Column.Value,24,25.0,
Column.Value,25,26.0,
Column.Value,26,27.0,
Column.Value,27,28.0,
Column.Value,28,29.0,
Column.Value,29,30.0,
Column.Value,30,31.0,
Column.Value,31,34.0,
Column.Value,32,40.0,
Column.Value,33,43.0,
Column.Value,34,45.0,
Column.Value,35,47.0,
Column.Value,36,50.0,
Column.Value,37,52.0,
Column.Value,38,60.0,
Column.Value,39,65.0,
Column.Value,40,80.0,
Column.Value,41,90.0,
Column.Value,42,120.0,
Column.Value,43,150.0,
Column.Value,44,180.0,
Column.Value,45,210.0,
Column.Value,46,240.0,
Column.Value,47,300.0,
Table.Column,ae5,# TIMES ATE COOKED DRIED BEANS IN PAST MONTH,true
Column.Value,0,0.0,
Column.Value,1,1.0,
Column.Value,2,2.0,
Column.Value,3,3.0,
Column.Value,4,4.0,
Column.Value,5,5.0,
Column.Value,6,6.0,
Column.Value,7,7.0,
Column.Value,8,8.0,
Column.Value,9,9.0,
Column.Value,10,10.0,
Column.Value,11,11.0,
Column.Value,12,12.0,
Column.Value,13,13.0,
Column.Value,14,14.0,
Column.Value,15,15.0,
Column.Value,16,16.0,
Column.Value,17,17.0,
Column.Value,18,18.0,
Column.Value,19,19.0,
Column.Value,20,20.0,
Column.Value,21,21.0,
Column.Value,22,22.0,
Column.Value,23,23.0,
Column.Value,24,24.0,
Column.Value,25,25.0,
Column.Value,26,26.0,
Column.Value,27,27.0,
Column.Value,28,28.0,
Column.Value,29,29.0,
Column.Value,30,30.0,
Column.Value,31,31.0,
Column.Value,32,34.0,
Column.Value,33,35.0,
Column.Value,34,36.0,
Column.Value,35,40.0,
Column.Value,36,43.0,
Column.Value,37,45.0,
Column.Value,38,60.0,
Column.Value,39,65.0,
Column.Value,40,69.0,
Column.Value,41,86.0,
Column.Value,42,90.0,
Column.Value,43,100.0,
Column.Value,44,108.0,
Column.Value,45,120.0,
Column.Value,46,140.0,
Column.Value,47,150.0,
Column.Value,48,180.0,
Column.Value,49,210.0,
Column.Value,50,270.0,
Table.Column,ae7,# OF TIMES ATE VEGETABLES IN PAST MO,true
Column.Value,0,0.0,
Column.Value,1,1.0,
Column.Value,2,2.0,
Column.Value,3,3.0,
Column.Value,4,4.0,
Column.Value,5,5.0,
Column.Value,6,6.0,
Column.Value,7,7.0,
Column.Value,8,8.0,
Column.Value,9,9.0,
Column.Value,10,10.0,
Column.Value,11,11.0,
Column.Value,12,12.0,
Column.Value,13,13.0,
Column.Value,14,14.0,
Column.Value,15,15.0,
Column.Value,16,16.0,
Column.Value,17,17.0,
Column.Value,18,18.0,
Column.Value,19,19.0,
Column.Value,20,20.0,
Column.Value,21,21.0,
Column.Value,22,22.0,
Column.Value,23,23.0,
Column.Value,24,24.0,
Column.Value,25,25.0,
Column.Value,26,26.0,
Column.Value,27,27.0,
Column.Value,28,28.0,
Column.Value,29,29.0,
Column.Value,30,30.0,
Column.Value,31,31.0,
Column.Value,32,32.0,
Column.Value,33,33.0,
Column.Value,34,34.0,
Column.Value,35,35.0,
Column.Value,36,36.0,
Column.Value,37,39.0,
Column.Value,38,40.0,
Column.Value,39,42.0,
Column.Value,40,43.0,
Column.Value,41,45.0,
Column.Value,42,47.0,
Column.Value,43,48.0,
Column.Value,44,50.0,
Column.Value,45,52.0,
Column.Value,46,55.0,
Column.Value,47,56.0,
Column.Value,48,60.0,
Column.Value,49,64.0,
Column.Value,50,65.0,
Column.Value,51,66.0,
Column.Value,52,67.0,
Column.Value,53,70.0,
Column.Value,54,72.0,
Column.Value,55,73.0,
Column.Value,56,75.0,
Column.Value,57,77.0,
Column.Value,58,80.0,
Column.Value,59,84.0,
Column.Value,60,86.0,
Column.Value,61,88.0,
Column.Value,62,90.0,
Column.Value,63,100.0,
Column.Value,64,108.0,
Column.Value,65,110.0,
Column.Value,66,120.0,
Column.Value,67,134.0,
Column.Value,68,150.0,
Column.Value,69,180.0,
Column.Value,70,200.0,
Column.Value,71,210.0,
Column.Value,72,240.0,
Column.Value,73,258.0,
Column.Value,74,270.0,
Column.Value,75,300.0,
Column.Value,76,450.0,
Column.Value,77,600.0,
Table.Column,ac46,# OF TIMES DRANK SWEET FRUIT DRINKS PAST MO,true
Column.Value,0,0.0,
Column.Value,1,1.0,
Column.Value,2,2.0,
Column.Value,3,3.0,
Column.Value,4,4.0,
Column.Value,5,5.0,
Column.Value,6,6.0,
Column.Value,7,7.0,
Column.Value,8,8.0,
Column.Value,9,9.0,
Column.Value,10,10.0,
Column.Value,11,11.0,
Column.Value,12,12.0,
Column.Value,13,13.0,
Column.Value,14,14.0,
Column.Value,15,15.0,
Column.Value,16,16.0,
Column.Value,17,17.0,
Column.Value,18,18.0,
Column.Value,19,19.0,
Column.Value,20,20.0,
Column.Value,21,21.0,
Column.Value,22,22.0,
Column.Value,23,23.0,
Column.Value,24,24.0,
Column.Value,25,25.0,
Column.Value,26,26.0,
Column.Value,27,28.0,
Column.Value,28,29.0,
Column.Value,29,30.0,
Column.Value,30,31.0,
Column.Value,31,33.0,
Column.Value,32,34.0,
Column.Value,33,35.0,
Column.Value,34,40.0,
Column.Value,35,43.0,
Column.Value,36,45.0,
Column.Value,37,47.0,
Column.Value,38,50.0,
Column.Value,39,52.0,
Column.Value,40,55.0,
Column.Value,41,60.0,
Column.Value,42,65.0,
Column.Value,43,86.0,
Column.Value,44,90.0,
Column.Value,45,120.0,
Column.Value,46,150.0,
Column.Value,47,180.0,
Column.Value,48,210.0,
Column.Value,49,300.0,
Table.Column,ad39w,AVERAGE LENGTH OF TIME WALKED FOR TRANSPORT,true
Column.Value,0,INAPPLICABLE,
Column.Value,1,0.0,
Column.Value,2,1.0,
Column.Value,3,2.0,
Column.Value,4,3.0,
Column.Value,5,4.0,
Column.Value,6,5.0,
Column.Value,7,6.0,
Column.Value,8,7.0,
Column.Value,9,8.0,
Column.Value,10,9.0,
Column.Value,11,10.0,
Column.Value,12,11.0,
Column.Value,13,12.0,
Column.Value,14,13.0,
Column.Value,15,14.0,
Column.Value,16,15.0,
Column.Value,17,16.0,
Column.Value,18,17.0,
Column.Value,19,18.0,
Column.Value,20,19.0,
Column.Value,21,20.0,
Column.Value,22,22.0,
Column.Value,23,23.0,
Column.Value,24,24.0,
Column.Value,25,25.0,
Column.Value,26,26.0,
Column.Value,27,27.0,
Column.Value,28,28.0,
Column.Value,29,29.0,
Column.Value,30,30.0,
Column.Value,31,32.0,
Column.Value,32,34.0,
Column.Value,33,35.0,
Column.Value,34,36.0,
Column.Value,35,37.0,
Column.Value,36,40.0,
Column.Value,37,42.0,
Column.Value,38,45.0,
Column.Value,39,48.0,
Column.Value,40,50.0,
Column.Value,41,55.0,
Column.Value,42,60.0,
Column.Value,43,62.0,
Column.Value,44,65.0,
Column.Value,45,70.0,
Column.Value,46,75.0,
Column.Value,47,77.0,
Column.Value,48,80.0,
Column.Value,49,82.0,
Column.Value,50,85.0,
Column.Value,51,90.0,
Column.Value,52,100.0,
Column.Value,53,103.0,
Column.Value,54,105.0,
Column.Value,55,110.0,
Column.Value,56,118.0,
Column.Value,57,120.0,
Column.Value,58,125.0,
Column.Value,59,130.0,
Column.Value,60,150.0,
Column.Value,61,153.0,
Column.Value,62,165.0,
Column.Value,63,180.0,
Column.Value,64,210.0,
Column.Value,65,240.0,
Column.Value,66,255.0,
Column.Value,67,270.0,
Column.Value,68,300.0,
Column.Value,69,303.0,
Column.Value,70,360.0,
Column.Value,71,420.0,
Column.Value,72,480.0,
Column.Value,73,540.0,
Column.Value,74,600.0,
Table.Column,ad42w,AVERAGE LENGTH OF TIME WALKED FOR LEISURE,true
Column.Value,0,INAPPLICABLE,
Column.Value,1,1.0,
Column.Value,2,2.0,
Column.Value,3,3.0,
Column.Value,4,4.0,
Column.Value,5,5.0,
Column.Value,6,6.0,
Column.Value,7,7.0,
Column.Value,8,8.0,
Column.Value,9,9.0,
Column.Value,10,10.0,
Column.Value,11,11.0,
Column.Value,12,12.0,
Column.Value,13,13.0,
Column.Value,14,14.0,
Column.Value,15,15.0,
Column.Value,16,16.0,
Column.Value,17,17.0,
Column.Value,18,18.0,
Column.Value,19,19.0,
Column.Value,20,20.0,
Column.Value,21,21.0,
Column.Value,22,22.0,
Column.Value,23,23.0,
Column.Value,24,24.0,
Column.Value,25,25.0,
Column.Value,26,26.0,
Column.Value,27,27.0,
Column.Value,28,28.0,
Column.Value,29,30.0,
Column.Value,30,31.0,
Column.Value,31,32.0,
Column.Value,32,35.0,
Column.Value,33,36.0,
Column.Value,34,37.0,
Column.Value,35,40.0,
Column.Value,36,42.0,
Column.Value,37,43.0,
Column.Value,38,44.0,
Column.Value,39,45.0,
Column.Value,40,46.0,
Column.Value,41,48.0,
Column.Value,42,49.0,
Column.Value,43,50.0,
Column.Value,44,52.0,
Column.Value,45,53.0,
Column.Value,46,55.0,
Column.Value,47,58.0,
Column.Value,48,60.0,
Column.Value,49,62.0,
Column.Value,50,65.0,
Column.Value,51,68.0,
Column.Value,52,70.0,
Column.Value,53,75.0,
Column.Value,54,80.0,
Column.Value,55,84.0,
Column.Value,56,85.0,
Column.Value,57,87.0,
Column.Value,58,90.0,
Column.Value,59,95.0,
Column.Value,60,100.0,
Column.Value,61,103.0,
Column.Value,62,105.0,
Column.Value,63,120.0,
Column.Value,64,123.0,
Column.Value,65,130.0,
Column.Value,66,135.0,
Column.Value,67,140.0,
Column.Value,68,142.0,
Column.Value,69,145.0,
Column.Value,70,150.0,
Column.Value,71,153.0,
Column.Value,72,165.0,
Column.Value,73,180.0,
Column.Value,74,190.0,
Column.Value,75,210.0,
Column.Value,76,240.0,
Column.Value,77,250.0,
Column.Value,78,270.0,
Column.Value,79,300.0,
Column.Value,80,330.0,
Column.Value,81,360.0,
Column.Value,82,361.0,
Column.Value,83,420.0,
Column.Value,84,445.0,
Column.Value,85,454.0,
Column.Value,86,480.0,
Column.Value,87,540.0,
Column.Value,88,600.0,
Table.Column,ah132,LENGTH OF TIME RESPONDENT HAS HAD CURRENT HEALTH INSURANCE PLAN,true
Column.Value,0,INAPPLICABLE,
Column.Value,1,1.0,
Column.Value,2,2.0,
Column.Value,3,3.0,
Column.Value,4,4.0,
Column.Value,5,5.0,
Column.Value,6,6.0,
Column.Value,7,7.0,
Column.Value,8,8.0,
Column.Value,9,9.0,
Column.Value,10,10.0,
Column.Value,11,11.0,
Column.Value,12,12.0,
Column.Value,13,13.0,
Column.Value,14,14.0,
Column.Value,15,15.0,
Column.Value,16,16.0,
Column.Value,17,17.0,
Column.Value,18,18.0,
Column.Value,19,19.0,
Column.Value,20,20.0,
Column.Value,21,21.0,
Column.Value,22,22.0,
Column.Value,23,23.0,
Column.Value,24,24.0,
Column.Value,25,25.0,
Column.Value,26,26.0,
Column.Value,27,27.0,
Column.Value,28,28.0,
Column.Value,29,30.0,
Column.Value,30,31.0,
Column.Value,31,32.0,
Column.Value,32,33.0,
Column.Value,33,34.0,
Column.Value,34,35.0,
Column.Value,35,36.0,
Column.Value,36,37.0,
Column.Value,37,39.0,
Column.Value,38,42.0,
Column.Value,39,44.0,
Column.Value,40,46.0,
Column.Value,41,47.0,
Column.Value,42,48.0,
Column.Value,43,49.0,
Column.Value,44,51.0,
Column.Value,45,52.0,
Column.Value,46,54.0,
Column.Value,47,56.0,
Column.Value,48,57.0,
Column.Value,49,59.0,
Column.Value,50,60.0,
Column.Value,51,61.0,
Column.Value,52,64.0,
Column.Value,53,65.0,
Column.Value,54,66.0,
Column.Value,55,67.0,
Column.Value,56,69.0,
Column.Value,57,72.0,
Column.Value,58,73.0,
Column.Value,59,76.0,
Column.Value,60,78.0,
Column.Value,61,79.0,
Column.Value,62,80.0,
Column.Value,63,84.0,
Column.Value,64,86.0,
Column.Value,65,90.0,
Column.Value,66,94.0,
Column.Value,67,96.0,
Column.Value,68,102.0,
Column.Value,69,108.0,
Column.Value,70,115.0,
Column.Value,71,120.0,
Column.Value,72,126.0,
Column.Value,73,132.0,
Column.Value,74,133.0,
Column.Value,75,135.0,
Column.Value,76,138.0,
Column.Value,77,139.0,
Column.Value,78,144.0,
Column.Value,79,150.0,
Column.Value,80,156.0,
Column.Value,81,168.0,
Column.Value,82,170.0,
Column.Value,83,180.0,
Column.Value,84,192.0,
Column.Value,85,204.0,
Column.Value,86,210.0,
Column.Value,87,216.0,
Column.Value,88,228.0,
Column.Value,89,239.0,
Column.Value,90,240.0,
Column.Value,91,252.0,
Column.Value,92,264.0,
Column.Value,93,276.0,
Column.Value,94,284.0,
Column.Value,95,287.0,
Column.Value,96,288.0,
Column.Value,97,300.0,
Column.Value,98,306.0,
Column.Value,99,312.0,
Column.Value,100,324.0,
Column.Value,101,336.0,
Column.Value,102,348.0,
Column.Value,103,360.0,
Column.Value,104,362.0,
Column.Value,105,372.0,
Column.Value,106,384.0,
Column.Value,107,396.0,
Column.Value,108,408.0,
Column.Value,109,420.0,
Column.Value,110,432.0,
Column.Value,111,444.0,
Column.Value,112,456.0,
Column.Value,113,468.0,
Column.Value,114,480.0,
Column.Value,115,492.0,
Column.Value,116,504.0,
Column.Value,117,516.0,
Column.Value,118,528.0,
Column.Value,119,540.0,
Column.Value,120,551.0,
Column.Value,121,552.0,
Column.Value,122,564.0,
Column.Value,123,576.0,
Column.Value,124,588.0,
Column.Value,125,600.0,
Column.Value,126,612.0,
Column.Value,127,624.0,
Column.Value,128,636.0,
Column.Value,129,648.0,
Column.Value,130,660.0,
Column.Value,131,672.0,
Column.Value,132,684.0,
Column.Value,133,696.0,
Column.Value,134,708.0,
Column.Value,135,720.0,
Table.Column,ah136,LENGTH OF TIME RESPONDENT HAS HAD OTHER HEALTH INSURANCE PLAN,true
Column.Value,0,INAPPLICABLE,
Column.Value,1,0.0,
Column.Value,2,1.0,
Column.Value,3,2.0,
Column.Value,4,3.0,
Column.Value,5,4.0,
Column.Value,6,5.0,
Column.Value,7,6.0,
Column.Value,8,7.0,
Column.Value,9,8.0,
Column.Value,10,9.0,
Column.Value,11,10.0,
Column.Value,12,11.0,
Column.Value,13,12.0,
Column.Value,14,13.0,
Column.Value,15,14.0,
Column.Value,16,15.0,
Column.Value,17,17.0,
Column.Value,18,18.0,
Column.Value,19,20.0,
Column.Value,20,22.0,
Column.Value,21,24.0,
Column.Value,22,25.0,
Column.Value,23,26.0,
Column.Value,24,28.0,
Column.Value,25,30.0,
Column.Value,26,32.0,
Column.Value,27,36.0,
Column.Value,28,42.0,
Column.Value,29,44.0,
Column.Value,30,45.0,
Column.Value,31,48.0,
Column.Value,32,49.0,
Column.Value,33,54.0,
Column.Value,34,55.0,
Column.Value,35,60.0,
Column.Value,36,61.0,
Column.Value,37,63.0,
Column.Value,38,64.0,
Column.Value,39,66.0,
Column.Value,40,72.0,
Column.Value,41,75.0,
Column.Value,42,78.0,
Column.Value,43,80.0,
Column.Value,44,84.0,
Column.Value,45,91.0,
Column.Value,46,96.0,
Column.Value,47,102.0,
Column.Value,48,108.0,
Column.Value,49,120.0,
Column.Value,50,126.0,
Column.Value,51,132.0,
Column.Value,52,138.0,
Column.Value,53,144.0,
Column.Value,54,146.0,
Column.Value,55,156.0,
Column.Value,56,159.0,
Column.Value,57,168.0,
Column.Value,58,174.0,
Column.Value,59,180.0,
Column.Value,60,192.0,
Column.Value,61,198.0,
Column.Value,62,204.0,
Column.Value,63,216.0,
Column.Value,64,228.0,
Column.Value,65,240.0,
Column.Value,66,252.0,
Column.Value,67,260.0,
Column.Value,68,264.0,
Column.Value,69,270.0,
Column.Value,70,276.0,
Column.Value,71,282.0,
Column.Value,72,288.0,
Column.Value,73,300.0,
Column.Value,74,311.0,
Column.Value,75,312.0,
Column.Value,76,324.0,
Column.Value,77,330.0,
Column.Value,78,336.0,
Column.Value,79,348.0,
Column.Value,80,354.0,
Column.Value,81,360.0,
Column.Value,82,372.0,
Column.Value,83,384.0,
Column.Value,84,396.0,
Column.Value,85,408.0,
Column.Value,86,420.0,
Column.Value,87,427.0,
Column.Value,88,432.0,
Column.Value,89,444.0,
Column.Value,90,456.0,
Column.Value,91,468.0,
Column.Value,92,474.0,
Column.Value,93,480.0,
Column.Value,94,492.0,
Column.Value,95,504.0,
Column.Value,96,516.0,
Column.Value,97,528.0,
Column.Value,98,540.0,
Column.Value,99,552.0,
Column.Value,100,564.0,
Column.Value,101,576.0,
Column.Value,102,588.0,
Column.Value,103,600.0,
Column.Value,104,612.0,
Column.Value,105,624.0,
Column.Value,106,636.0,
Column.Value,107,648.0,
Column.Value,108,660.0,
Column.Value,109,672.0,
Column.Value,110,684.0,
Column.Value,111,696.0,
Column.Value,112,708.0,
Column.Value,113,720.0,
Table.Column,povll_aca,FAMILY POVERTY THRESHOLD LEVEL: ACA MAGI ELIGIBILITY (4 LVLS),true
Column.Value,0,0-138% FPL,
Column.Value,1,139%-249% FPL,
Column.Value,2,250%-399% FPL,
Column.Value,3,400%+ FPL,
Table.Column,marit,MARITAL STATUS- 3 CATEGORIES,true
Column.Value,0,MARRIED,
Column.Value,1,OTHERWID/SEP/DIV/LIVING W/PARTNER,
Column.Value,2,NEVER MARRIED,
Table.Column,ak4,TYPE OF EMPLOYER AT MAIN JOB,true
Column.Value,0,INAPPLICABLE,
Column.Value,1,"PRIVATE COMPANY, NON-PROFIT ORG",
Column.Value,2,GOVERNMENT,
Column.Value,3,SELF-EMPLOYED,
Column.Value,4,FAMILY BUSINESS OR FARM,
Table.Column,povll,POVERTY LEVEL,true
Column.Value,0,0-99% FPL,
Column.Value,1,100-199% FPL,
Column.Value,2,200-299% FPL,
Column.Value,3,300% FPL AND ABOVE,
Table.Column,insmc,COVERED BY MEDICARE,true
Column.Value,0,YES,
Column.Value,1,NO,
Table.Column,insmd,COVERED BY MEDI-CAL,true
Column.Value,0,YES,
Column.Value,1,NO,
Table.Column,insem,COVERED BY EMPLOYER-BASED PLANS,true
Column.Value,0,YES,
Column.Value,1,NO,
Table.Column,insps,PRIMARY OR SECONDARY COVERAGE,true
Column.Value,0,INAPPLICABLE,
Column.Value,1,PRIMARY,
Column.Value,2,SECONDARY,
Column.Value,3,NOT SPECIFIED AS PRIMARY OR SECONDARY,
Table.Column,inspr,COVERED BY PLANS PURCHASED ON OWN,true
Column.Value,0,YES,
Column.Value,1,NO,
Table.Column,insog,COVERED BY OTHER GOVT PLANS,true
Column.Value,0,YES,
Column.Value,1,NO,
Table.Column,covrdca,PRIVATE/EMP BASED COVERAGE FROM COVERED CALIFORNIA,true
Column.Value,0,YES,
Column.Value,1,NO,
Table.Column,ins,CURRENTLY INSURED,true
Column.Value,0,YES,
Column.Value,1,NO,
Table.Column,ins65,TYPE OF CURRENT HEALTH COVERAGE SOURCE FOR ELDERLY 65+,true
Column.Value,0,SKIPPED - AGE < 65,
Column.Value,1,MEDICARE + MEDI-CAL (MEDICAID),
Column.Value,2,MEDICARE + OTHER,
Column.Value,3,MEDICARE ONLY,
Column.Value,4,OTHER ONLY,
Column.Value,5,UNINSURED,
Table.Column,ins12m,MOS COVERED BY HEALTH PLANS LAST 12 MOS,true
Column.Value,0,0.0,
Column.Value,1,1.0,
Column.Value,2,2.0,
Column.Value,3,3.0,
Column.Value,4,4.0,
Column.Value,5,5.0,
Column.Value,6,6.0,
Column.Value,7,7.0,
Column.Value,8,8.0,
Column.Value,9,9.0,
Column.Value,10,10.0,
Column.Value,11,11.0,
Column.Value,12,12.0,
Table.Column,uninsany,UNINSURED IN PAST 12 MOS,true
Column.Value,0,SKIPPED - AGES>=65,
Column.Value,1,UNINSURED ALL YEAR,
Column.Value,2,UNINSURED PART YEAR,
Column.Value,3,INSURED ALL YEAR,
Table.Column,insany,ANY INS IN LAST 12 MOS,true
Column.Value,0,CURRENTLY UNINSURED,
Column.Value,1,UNINS. ANY PAST 12 MO,
Column.Value,2,INSURED ALL PAST 12 MO,
Table.Column,insmc_s,SPOUSE COVERED BY MEDICARE,true
Column.Value,0,INAPPLICABLE,
Column.Value,1,YES,
Column.Value,2,NO,
Table.Column,insmd_s,SPOUSE COVERED BY MEDI-CAL,true
Column.Value,0,INAPPLICABLE,
Column.Value,1,YES,
Column.Value,2,NO,
Table.Column,insem_s,SPOUSE COVERED BY EMPLOYER-BASED PLANS,true
Column.Value,0,INAPPLICABLE,
Column.Value,1,YES,
Column.Value,2,NO,
Table.Column,inspr_s,SPOUSE COVERED BY PLANS PURCHASED ON OWN,true
Column.Value,0,INAPPLICABLE,
Column.Value,1,YES,
Column.Value,2,NO,
Table.Column,insog_s,SPOUSE COVERED BY OTHER GOVT PLANS,true
Column.Value,0,INAPPLICABLE,
Column.Value,1,YES,
Column.Value,2,NO,
Table.Column,insps_s,SPOUSE PRIMARY OR SECONDARY COVERAGE,true
Column.Value,0,INAPPLICABLE,
Column.Value,1,PRIMARY,
Column.Value,2,SECONDARY,
Table.Column,ins_s,SPOUSE CURRENTLY INSURED,true
Column.Value,0,INAPPLICABLE,
Column.Value,1,YES,
Column.Value,2,NO,
Table.Column,ins65_s,TYPE OF CURRENT HEALTH COVERAGE FOR SPOUSE 65+,true
Column.Value,0,NO SPOUSE IN HH OR AGE < 65,
Column.Value,1,MEDICARE + MEDICAID,
Column.Value,2,MEDICARE + OTHER,
Column.Value,3,MEDICARE ONLY,
Column.Value,4,OTHER ONLY,
Column.Value,5,UNINSURED,
Table.Column,instype,TYPE OF CURRENT HEALTH COVERAGE SOURCE FOR ALL AGES,true
Column.Value,0,UNINSURED,
Column.Value,1,MEDICARE & MEDICAID,
Column.Value,2,MEDICARE & OTHERS,
Column.Value,3,MEDICARE ONLY,
Column.Value,4,MEDICAID,
Column.Value,5,EMPLOYMENT-BASED,
Column.Value,6,PRIVATELY PURCHASED,
Column.Value,7,OTHER PUBLIC,
Table.Column,ins9tp,TYPE OF CURRENT HEALTH COVERAGE SOURCE FOR ALL AGES (9 LVLS),true
Column.Value,0,UNINSURED,
Column.Value,1,MEDICARE + EMPLOYER-BASED,
Column.Value,2,MEDICARE AND OTHERS (NO EMPLOYER-BASED) OR MEDICARE ONLY,
Column.Value,3,MEDICAID + EMPLOYER-BASED,
Column.Value,4,MEDICAID (NO EMPLOYER-BASED),
Column.Value,5,EMPLOYER BASED (NO MEDICARE OR MEDICAID),
Column.Value,6,PRIVATE PURCHASE,
Column.Value,7,OTHER PUBLIC,
Table.Column,elgmagi3,MEDI-CAL ELIGIBILITY FOR UNINSURED: ACA MAGI (2 LVLS),true
Column.Value,0,INSURED,
Column.Value,1,INAPPLICABLE-AGES>=65,
Column.Value,2,MEDI-CAL (MEDICAID) ELIG.,
Column.Value,3,NOT ELIG.,
Table.Column,proxy,A PROXY INTERVIEW,true
Column.Value,0,YES,
Column.Value,1,NO,
Table.Column,ac83c_1,BEST DESCRIBES REASON FOR USING E-CIGS - QUIT SMOKING,true
Column.Value,0,INAPPLICABLE,
Column.Value,1,YES,
Column.Value,2,NO,
Table.Column,ac83c_2,BEST DESCRIBES REASON FOR USING E-CIGS - REPLACE SMOKING,true
Column.Value,0,INAPPLICABLE,
Column.Value,1,YES,
Column.Value,2,NO,
Table.Column,ac83c_3,BEST DESCRIBES REASON FOR USING E-CIGS - CUT DOWN OR REDUCE SMOKING,true
Column.Value,0,INAPPLICABLE,
Column.Value,1,YES,
Column.Value,2,NO,
Table.Column,ac83c_4,BEST DESCRIBES REASON FOR USING E-CIGS - USED WHERE SMOKING NOT ALLOWED,true
Column.Value,0,INAPPLICABLE,
Column.Value,1,YES,
Column.Value,2,NO,
Table.Column,ac83c_5,BEST DESCRIBES REASON FOR USING E-CIGS - CURIOSITY,true
Column.Value,0,INAPPLICABLE,
Column.Value,1,YES,
Column.Value,2,NO,
Table.Column,ac83c_6,BEST DESCRIBES REASON FOR USING E-CIGS - NO LINGERING ODOR,true
Column.Value,0,INAPPLICABLE,
Column.Value,1,YES,
Column.Value,2,NO,
Table.Column,ac83c_7,BEST DESCRIBES REASON FOR USING E-CIGS - HELPS CONCENTRATE,true
Column.Value,0,INAPPLICABLE,
Column.Value,1,YES,
Column.Value,2,NO,
Table.Column,ac83c_8,BEST DESCRIBES REASON FOR USING E-CIGS - MANY FLAVORS,true
Column.Value,0,INAPPLICABLE,
Column.Value,1,YES,
Column.Value,2,NO,
Table.Column,ac83c_9,BEST DESCRIBES REASON FOR USING E-CIGS - LESS EXPENSIVE,true
Column.Value,0,INAPPLICABLE,
Column.Value,1,YES,
Column.Value,2,NO,
Table.Column,ac83c_10,BEST DESCRIBES REASON FOR USING E-CIGS - HEALTHIER THAN CIGARETTES,true
Column.Value,0,INAPPLICABLE,
Column.Value,1,YES,
Column.Value,2,NO,
Table.Column,ac83c_11,BEST DESCRIBES REASON FOR USING E-CIGS - SOCIAL REASONS/ENJOYMENT,true
Column.Value,0,INAPPLICABLE,
Column.Value,1,YES,
Column.Value,2,NO,
Table.Column,aj153_1,HEALTH PROBLEM FOR TELE-MEDICAL CARE: SKIN,true
Column.Value,0,INAPPLICABLE,
Column.Value,1,YES,
Column.Value,2,NO,
Table.Column,aj153_2,HEALTH PROBLEM FOR TELE-MEDICAL CARE: EYE,true
Column.Value,0,INAPPLICABLE,
Column.Value,1,YES,
Column.Value,2,NO,
Table.Column,aj153_4,HEALTH PROBLEM FOR TELE-MEDICAL CARE: OTHER,true
Column.Value,0,INAPPLICABLE,
Column.Value,1,YES,
Column.Value,2,NO,
Table.Column,aj153_6,"HEALTH PROBLEM FOR TELE-MEDICAL CARE: FLU, COLD, ALLERGIES, INFECTIONS",true
Column.Value,0,INAPPLICABLE,
Column.Value,1,YES,
Column.Value,2,NO,
Table.Column,aj153_8,"HEALTH PROBLEM FOR TELE-MEDICAL CARE: ARTHRITIS, JOINT, BACK, MUSCLE PROBLEM/PAI",true
Column.Value,0,INAPPLICABLE,
Column.Value,1,YES,
Column.Value,2,NO,
Table.Column,aj153_10,"HEALTH PROBLEM FOR TELE-MEDICAL CARE: CHECK-UPS, GENERAL QUESTIONS ON HEALTH, RX",true
Column.Value,0,INAPPLICABLE,
Column.Value,1,YES,
Column.Value,2,NO,
Table.Column,aj153_11,"HEALTH PROBLEM FOR TELE-MEDICAL CARE: NOT FEELING WELL, OTHER HEALTH PROBLEM",true
Column.Value,0,INAPPLICABLE,
Column.Value,1,YES,
Column.Value,2,NO,
Table.Column,aj153_5,HEALTH PROBLEM FOR TELE-MEDICAL CARE: DISEASE CARE/MGMT,true
Column.Value,0,INAPPLICABLE,
Column.Value,1,YES,
Column.Value,2,NO,
Table.Column,aj154b_1,BIRTH CONTROL METHOD: TUBAL LIGATION,true
Column.Value,-1,nan,
Column.Value,0,NOT ASCERTAINED,
Column.Value,1,INAPPLICABLE,
Column.Value,2,YES,
Column.Value,3,NO,
Table.Column,aj154b_2,BIRTH CONTROL METHOD: VASECTOMY,true
Column.Value,-1,nan,
Column.Value,0,NOT ASCERTAINED,
Column.Value,1,INAPPLICABLE,
Column.Value,2,YES,
Column.Value,3,NO,
Table.Column,aj154b_3,BIRTH CONTROL METHOD: IUD,true
Column.Value,-1,nan,
Column.Value,0,NOT ASCERTAINED,
Column.Value,1,INAPPLICABLE,
Column.Value,2,YES,
Column.Value,3,NO,
Table.Column,aj154b_4,BIRTH CONTROL METHOD: IMPLANT,true
Column.Value,-1,nan,
Column.Value,0,NOT ASCERTAINED,
Column.Value,1,INAPPLICABLE,
